texte	numero	temps		resultat
Calc	28	4e-05
/Calc	28	0.001642	5.2915
Calc	50	4e-05
Calc	2	3.7e-05
/Calc	50	0.001566	7.07107
/Calc	2	0.001556	1.41421
Calc	3	3.7e-05
/Calc	3	0.001565	1.73205
Calc	4	3.8e-05
/Calc	4	0.000903	2
Calc	5	3.9e-05
/Calc	5	0.001562	2.23607
Calc	6	3.8e-05
/Calc	6	0.001604	2.44949
Calc	7	4e-05
/Calc	7	0.001562	2.64575
Calc	8	3.7e-05
/Calc	8	0.001572	2.82843
Calc	9	3.9e-05
/Calc	9	0.00156	3
Calc	10	3.8e-05
/Calc	10	0.001559	3.16228
Calc	11	3.7e-05
/Calc	11	0.001559	3.31662
Calc	12	3.7e-05
Calc	32	3.8e-05
/Calc	12	0.001557	3.4641
/Calc	32	0.001574	5.65685
Calc	13	3.7e-05
Calc	33	3.7e-05
/Calc	13	0.001567	3.60555
/Calc	33	0.001558	5.74456
Calc	15	3.7e-05
Calc	34	3.7e-05
/Calc	15	0.001558	3.87298
/Calc	34	0.001575	5.83095
Calc	14	3.7e-05
Calc	35	3.7e-05
/Calc	14	0.001581	3.74166
/Calc	35	0.001569	5.91608
Calc	16	3.7e-05
Calc	36	3.7e-05
/Calc	16	0.000989	4
Calc	19	3.7e-05
/Calc	36	0.001561	6
Calc	37	4.1e-05
/Calc	19	0.001557	4.3589
Calc	18	3.7e-05
/Calc	37	0.001562	6.08276
Calc	38	3.7e-05
/Calc	18	0.001564	4.24264
Calc	20	3.7e-05
/Calc	38	0.001558	6.16441
Calc	39	3.7e-05
/Calc	20	0.001556	4.47214
Calc	17	3.7e-05
/Calc	39	0.001572	6.245
/Calc	17	0.001571	4.12311
Calc	21	3.7e-05
Calc	41	3.8e-05
/Calc	21	0.001562	4.58258
/Calc	41	0.001564	6.40312
Calc	42	3.7e-05
Calc	25	3.8e-05
/Calc	25	0.00156	5
Calc	44	3.7e-05
Calc	23	3.8e-05
/Calc	44	0.001559	6.63325
/Calc	23	0.001559	4.79583
Calc	43	3.7e-05
Calc	22	3.8e-05
/Calc	22	0.001559	4.69042
Calc	47	3.7e-05
Calc	24	3.8e-05
/Calc	47	0.001558	6.85565
/Calc	24	0.001575	4.89898
Calc	26	3.7e-05
Calc	40	3.8e-05
/Calc	26	0.001557	5.09902
/Calc	40	0.001642	6.32456
Calc	27	3.7e-05
Calc	46	3.7e-05
/Calc	27	0.001566	5.19615
/Calc	46	0.001568	6.78233
Calc	48	3.7e-05
Calc	1	3.7e-05
/Calc	1	0.000901	1
Loop	0	0.04902	0
recu	1	0.049034	1
recu	2	0.049043	1.41421
recu	3	0.049052	1.73205
recu	4	0.049061	2
recu	5	0.04907	2.23607
recu	6	0.049079	2.44949
recu	7	0.049088	2.64575
recu	8	0.049096	2.82843
recu	9	0.049104	3
recu	10	0.049113	3.16228
recu	11	0.049122	3.31662
recu	12	0.04913	3.4641
recu	13	0.049138	3.60555
recu	14	0.049146	3.74166
recu	15	0.049154	3.87298
recu	16	0.049162	4
recu	17	0.04917	4.12311
recu	18	0.049178	4.24264
recu	19	0.049186	4.3589
recu	20	0.049194	4.47214
recu	21	0.049202	4.58258
recu	22	0.04921	4.69042
recu	23	0.049218	4.79583
recu	24	0.049226	4.89898
/Calc	48	0.001565	6.9282
recu	25	0.049234	5
recu	26	0.049243	5.09902
recu	27	0.049251	5.19615
recu	28	0.049259	5.2915
recu	32	0.049269	5.65685
recu	33	0.049278	5.74456
recu	34	0.049286	5.83095
recu	35	0.049294	5.91608
recu	36	0.049302	6
recu	37	0.04931	6.08276
recu	38	0.049319	6.16441
recu	39	0.049327	6.245
recu	40	0.049335	6.32456
recu	41	0.049343	6.40312
recu	42	0.049351	6.48074
recu	43	0.049359	6.55744
recu	44	0.049368	6.63325
recu	46	0.049377	6.78233
recu	47	0.049385	6.85565
recu	48	0.049393	6.9282
recu	50	0.049402	7.07107
Calc	45	4.2e-05
Loop	0	0.050504	45
/Loop	0	0.050533	45
/Calc	45	0.001509	6.7082
Calc	49	3.7e-05
Loop	0	0.051625	45
recu	45	0.051653	6.7082
/Loop	0	0.051663	46
/Calc	49	0.001484	7
Calc	31	3.7e-05
Loop	0	0.052737	46
recu	49	0.052766	7
/Loop	0	0.052774	47
Loop	0	0.053864	47
/Loop	0	0.053892	47
/Calc	31	0.001511	5.56776
Loop	0	0.054968	47
recu	31	0.05499	5.56776
/Loop	0	0.055005	48
Loop	0	0.056095	48
/Loop	0	0.056123	48
Loop	0	0.057215	48
/Loop	0	0.057243	48
Loop	0	0.058334	48
/Loop	0	0.058361	48
Loop	0	0.059451	48
/Loop	0	0.059479	48
Loop	0	0.06057	48
/Loop	0	0.060598	48
Calc	30	3.7e-05
Loop	0	0.061689	48
/Loop	0	0.061716	48
/Calc	30	0.001576	5.47723
Loop	0	0.062807	48
recu	30	0.062828	5.47723
/Loop	0	0.062843	49
Loop	0	0.063934	49
/Loop	0	0.063963	49
Loop	0	0.065055	49
/Loop	0	0.065082	49
Loop	0	0.066173	49
/Loop	0	0.066201	49
Loop	0	0.067291	49
/Loop	0	0.067319	49
Loop	0	0.068411	49
/Loop	0	0.068439	49
Loop	0	0.06953	49
/Loop	0	0.069557	49
Loop	0	0.070649	49
/Loop	0	0.070676	49
Calc	29	5.7e-05
Loop	0	0.071767	49
/Loop	0	0.071794	49
Loop	0	0.072885	49
/Loop	0	0.072912	49
/Calc	29	0.001536	5.38516
Loop	0	0.074004	49
recu	29	0.074025	5.38516
/Loop	0	0.074041	50
Essai	0	0.075115	239.036
